ID,SUBPRIO,PRIORITY,WARN_TYPE,TIME_OUT,LM,ICON,COLOR,CHIME_TYPE,TEXT
W050,2,2,SC*,n/a,No,Z.902,Red,Hard,Stop Safely Now
W050a,2,2,SC*,n/a,No,M.02,Red,Hard,Stop Safely Now
W050b,2,2,SC*,n/a,No,M.210,Red,Hard,Stop Safely Now
W070,3,2,SC*,n/a,No,n/a,Amber,No,"Occupant Sensor
BLOCKED
Remove Objects
Near Passenger Seat"
W090,5,2,SC*,n/a,No,J.14,Amber,Service Advacetrac Chime,"Service
 AdvanceTrac"
W075,6,2,SC*,n/a,No,n/a,Amber,n/a,"Neutral Tow Enabled
Leave Transmission in Neutral"
W75a,6,2,NR,n/a,No,n/a,Amber,No,"Neutral Tow Enabled
Leave Transmission in Neutral"
W75b,6,2,TA,24,Yes,n/a,Amber,No,"Neutral Tow Enabled
Leave Transmission in Neutral"
W076,6.1,2,TA,4,Yes,n/a,Amber,No,"Neutral Tow
Disabled"
W606,7,2,SC*,n/a,No,n/a,Amber,PRNDL_NOT_IN_PARK_CHIME,"Transmission 
Not in Park"
W605a,7,2,NR,n/a,Yes,n/a,Neutral,info,"Transmission 
Not in Park"
W605,7,2,NR,n/a,Yes,n/a,Amber,PRNDL_NOT_IN_PARK_CHIME,"Transmission 
Not in Park"
W098,9,2,SC*,n/a,No,n/a,Amber,HEV Off Chime,Vehicle is ON
W099,9.5,2,SC*,n/a,No,n/a,Amber,HEV Off Chime,Vehicle is ON
W100,10,2,SC*,n/a,No,k.08,Red,Door Ajar Chime,"Driver Door 
Ajar"
W3256,11,2,TT/RTT,n/a,No,tbd.51,Amber,No,n/a
W2114,12,2,SC*,n/a,No,n/a,Neutral,info,"To stop motor
hold button"
W101,15,2,SC*,n/a,No,n/a,Amber,No,"Transport Mode
Contact Dealer"
W102,16,2,SC*,n/a,No,n/a,Amber,No,"Factory Mode
Contact Dealer"
W3100,18,2,SC*,n/a,No,n/a,Amber,No,"Shift to Neutral
to Start
Vehicle"
